ICB plus Code,BNF Chemical Substance plus Code,Spend per Patient_202412,Spend per Patient_202512,% Spend Change,Items per Patient_202412,Items per Patient_202512,% Items Change,Spend per Item_202412,Spend per Item_202512,% Spend per Item Change
England,Cinacalcet hydrochloride (0905012I0),0.002869,0.001749,-39.0,0.000125,0.000146,17.2,22.999833,11.96217,-48.0
England,Cinnarizine (0406000D0),0.001737,0.001216,-30.0,0.000404,0.000418,3.6,4.303737,2.906428,-32.5
England,Ciprofibrate (021200010),0.001155,0.000669,-42.1,1.7e-05,1.5e-05,-11.4,69.158232,45.221577,-34.6
England,Ciprofloxacin (0501120L0),0.001253,0.003931,213.6,0.00043,0.000402,-6.4,2.915431,9.768268,235.1
England,Ciprofloxacin (1103010B0),0.000298,0.000275,-7.8,5.8e-05,5.3e-05,-8.0,5.161393,5.168024,0.1
England,Ciprofloxacin (1201010AC),0.000544,0.000592,8.8,7.5e-05,8.8e-05,16.8,7.240077,6.745654,-6.8
England,Ciprofloxacin/fluocinolone (1201010AF),0.000101,0.00014,39.5,1.5e-05,2.2e-05,46.4,6.718299,6.403027,-4.7
England,Ciprofloxain/dexameth (1201010AE),0.002059,0.002884,40.1,0.000313,0.000441,40.9,6.586586,6.545596,-0.6
England,Citalopram hydrobromide (0403030D0),0.012122,0.023995,98.0,0.017398,0.017514,0.7,0.696737,1.370062,96.6
England,Citalopram hydrochloride (0403030Z0),0.001099,0.000853,-22.4,8.8e-05,8.9e-05,0.2,12.420581,9.616121,-22.6
England,Clarithromycin (0501050B0),0.014973,0.014201,-5.2,0.003081,0.002741,-11.0,4.859768,5.181123,6.6
England,Clascoterone (1306010AD),0.0,0.000108,999999.0,0.0,5e-06,999999.0,0.0,22.276468,999999.0
England,Clemastine fumarate (0304010H0),0.0,0.0,-100.0,0.0,0.0,-100.0,0.1314,0.0,-100.0
England,Clindamycin hydrochloride (0501060D0),0.0009,0.000753,-16.3,8.8e-05,8.9e-05,1.5,10.22172,8.427695,-17.6
England,Clindamycin phosphate (0501060E0),0.0,1e-06,999999.0,0.0,0.0,999999.0,0.0,35.467966,999999.0
England,Clindamycin phosphate (0702020E0),0.000284,0.000298,5.1,2.6e-05,2.6e-05,3.1,11.072726,11.293001,2.0
England,Clindamycin phosphate (1306010F0),0.001141,0.001228,7.7,0.000136,0.000136,0.0,8.412235,9.055428,7.6
England,Clindamycin/tretinoin (1306010AB),0.001217,0.001546,27.1,9.2e-05,0.000115,25.1,13.22349,13.428098,1.5
England,Clobazam (040801060),0.016331,0.009943,-39.1,0.000552,0.0006,8.7,29.604592,16.582498,-44.0
England,Clobetasol propionate (1304000G0),0.008262,0.008507,3.0,0.001279,0.001349,5.5,6.462258,6.304652,-2.4
England,Clobetasone butyrate (1304000H0),0.015535,0.017625,13.5,0.001989,0.002184,9.8,7.812065,8.068702,3.3
England,Clofazimine (0501100C0),1e-05,3.1e-05,215.1,0.0,0.0,398.6,632.2324,399.5524,-36.8
England,Clomethiazole (0401010F0),8.2e-05,9.5e-05,16.6,4e-06,4e-06,4.5,20.745139,23.142284,11.6
England,Clomethiazole edisilate (0401010D0),2.8e-05,2e-06,-92.9,1e-06,0.0,-93.0,31.065032,31.5124,1.4
England,Clomifene citrate (0605010G0),2.6e-05,1.6e-05,-36.1,3e-06,2e-06,-33.5,8.438259,8.114618,-3.8
England,Clomipramine hydrochloride (0403010F0),0.003867,0.002911,-24.7,0.000301,0.000311,3.2,12.844091,9.373191,-27.0
England,Clonazepam (0408010F0),0.010074,0.006023,-40.2,0.001434,0.001504,4.9,7.025959,4.003594,-43.0
